Date,Close price,Open price,High price,Low price,Volume,
3/8/2020,814.65,796.86,814.84,796.47,298.14,
31/07/2020,798.39,787.78,803.55,786.98,249.63,
30/07/2020,801.13,796.22,802.97,794.88,188.95,
29/07/2020,790.84,800.39,800.39,779.82,362.09,
28/07/2020,813.36,786.72,814.4,786.67,328.49,
27/07/2020,785.17,794.14,808.74,780.64,422.71,
24/07/2020,829.16,854.23,854.57,816.65,505.10,
23/07/2020,856.75,854.92,857.22,851.97,240.50,
22/07/2020,855.08,862.8,864,854.97,278.60,
21/07/2020,861.69,863.94,864.7,856.94,245.41,
20/07/2020,861.4,870.66,871.64,861.4,285.08,
17/07/2020,872.02,873.48,875.07,871.89,270.68,
16/07/2020,876.83,871.81,876.83,869.25,243.47,
15/07/2020,869.91,872.8,876.69,869.91,258.29,
14/07/2020,868.11,865.01,868.11,860.28,239.14,
13/07/2020,868.72,874.85,876.83,866.99,246.07,
10/7/2020,871.21,873.7,878.53,867.59,291.11,
9/7/2020,876.46,867.66,878.36,867.45,306.08,
8/7/2020,864.5,861.75,865.58,859.98,237.54,
7/7/2020,863.42,865.46,870.63,863.42,330.90,
6/7/2020,861.16,851.47,861.85,850.04,215.09,
3/7/2020,847.61,845.26,848.16,843.25,203.00,
2/7/2020,842.38,845.66,845.66,838.48,223.80,
1/7/2020,843.49,827.67,844.26,826.38,303.55,
30/06/2020,825.11,836.72,840.31,821.92,358.39,
29/06/2020,829.36,846.26,846.53,826,389.64,
26/06/2020,851.98,859.07,862.59,850.66,300.39,
25/06/2020,854.59,851.09,856.23,849.65,312.30,
24/06/2020,859.71,868.2,873.13,857.58,370.92,
23/06/2020,868.2,871.12,873.2,864.02,455.36,
22/06/2020,871.28,871.56,872.94,867.37,350.37,
19/06/2020,868.56,857.77,868.56,857.77,440.09,
18/06/2020,855.27,850.92,858.03,847.49,280.31,
17/06/2020,854.44,861.05,861.05,852.27,354.84,
16/06/2020,856.13,848.86,858.7,844.67,412.45,
15/06/2020,832.47,867.52,868.16,832.47,708.24,
12/6/2020,863.52,841.85,863.52,841.44,620.77,
11/6/2020,867.37,900.48,903.7,867.37,707.46,
10/6/2020,900,898.78,902.69,890.3,542.87,
9/6/2020,899.43,902.26,904.89,898.87,501.73,
8/6/2020,899.92,888.7,905.65,888.7,572.02,
5/6/2020,886.22,883.4,886.59,878.5,499.61,
4/6/2020,883.9,883.22,888.32,883.22,431.12,
3/6/2020,881.17,876.73,881.17,874.01,351.96,
