Date,Price
25/11/2013,12550000
26/11/2013,12840000
27/11/2013,12810000
29/11/2013,13060000
02/12/2013,13910000
03/12/2013,14740000
04/12/2013,15030000
05/12/2013,14820000
06/12/2013,13970000
09/12/2013,13970000
10/12/2013,14140000
11/12/2013,13980000
12/12/2013,15440000
13/12/2013,15170000
16/12/2013,15640000
17/12/2013,16040000
18/12/2013,15950000
19/12/2013,13590000
20/12/2013,13610000
23/12/2013,13370000
24/12/2013,12850000
26/12/2013,12480000
27/12/2013,12210000
30/12/2013,12870000
31/12/2013,13430000
02/01/2014,14320000
03/01/2014,14060000
06/01/2014,13410000
07/01/2014,12380000
08/01/2014,13040000
09/01/2014,12830000
10/01/2014,12600000
13/01/2014,12180000
14/01/2014,12890000
15/01/2014,12150000
16/01/2014,12320000
17/01/2014,12340000
21/01/2014,12630000
22/01/2014,12570000
23/01/2014,13670000
24/01/2014,14950000
27/01/2014,17290000
28/01/2014,17270000
29/01/2014,17950000
30/01/2014,16370000
31/01/2014,18710000
03/02/2014,18570000
04/02/2014,19990000
05/02/2014,19590000
06/02/2014,19090000
07/02/2014,16150000
10/02/2014,15630000
11/02/2014,15290000
12/02/2014,14310000
13/02/2014,15240000
14/02/2014,14210000
18/02/2014,13950000
19/02/2014,14850000
20/02/2014,15280000
21/02/2014,14740000
24/02/2014,14830000
25/02/2014,14170000
26/02/2014,13830000
27/02/2014,14560000
28/02/2014,14220000
03/03/2014,16470000
04/03/2014,14530000
05/03/2014,14130000
06/03/2014,13820000
07/03/2014,13510000
10/03/2014,14760000
11/03/2014,14220000
12/03/2014,15370000
13/03/2014,14280000
14/03/2014,16740000
17/03/2014,16390000
18/03/2014,15420000
19/03/2014,14560000
20/03/2014,15580000
21/03/2014,13960000
24/03/2014,14700000
25/03/2014,14160000
26/03/2014,13640000
27/03/2014,15000000
28/03/2014,14150000
31/03/2014,13880000
01/04/2014,13430000
02/04/2014,13170000
03/04/2014,13020000
04/04/2014,12880000
07/04/2014,14960000
08/04/2014,15590000
09/04/2014,14580000
10/04/2014,13980000
11/04/2014,16660000
14/04/2014,16140000
15/04/2014,16140000
16/04/2014,14890000
17/04/2014,14090000
21/04/2014,14100000
22/04/2014,13130000
23/04/2014,13350000
24/04/2014,13360000
25/04/2014,13930000
28/04/2014,14270000
29/04/2014,13880000
30/04/2014,14050000
01/05/2014,13640000
02/05/2014,13150000
05/05/2014,13950000
06/05/2014,13650000
07/05/2014,13640000
08/05/2014,13690000
09/05/2014,13550000
12/05/2014,12460000
13/05/2014,12360000
14/05/2014,12420000
15/05/2014,12730000
16/05/2014,13310000
19/05/2014,13170000
20/05/2014,12690000
21/05/2014,12380000
22/05/2014,11930000
23/05/2014,11960000
27/05/2014,11690000
28/05/2014,11600000
29/05/2014,11580000
30/05/2014,11660000
02/06/2014,11690000
03/06/2014,12030000
04/06/2014,12150000
05/06/2014,12090000
06/06/2014,11320000
09/06/2014,11230000
10/06/2014,11300000
11/06/2014,11420000
12/06/2014,11810000
13/06/2014,12450000
16/06/2014,12650000
17/06/2014,12810000
18/06/2014,11800000
19/06/2014,10530000
20/06/2014,10400000
23/06/2014,11260000
24/06/2014,11020000
25/06/2014,12310000
26/06/2014,11510000
27/06/2014,11720000
30/06/2014,11750000
01/07/2014,11280000
02/07/2014,11180000
03/07/2014,10470000
07/07/2014,11150000
08/07/2014,11720000
09/07/2014,11740000
10/07/2014,13220000
11/07/2014,12500000
14/07/2014,11600000
15/07/2014,11530000
16/07/2014,10810000
17/07/2014,11350000
18/07/2014,13340000
21/07/2014,12850000
22/07/2014,11970000
23/07/2014,11540000
24/07/2014,11430000
25/07/2014,12030000
28/07/2014,12930000
29/07/2014,12350000
30/07/2014,12630000
31/07/2014,14350000
01/08/2014,16670000
04/08/2014,16640000
05/08/2014,15540000
06/08/2014,17220000
07/08/2014,15500000
08/08/2014,16430000
11/08/2014,15160000
12/08/2014,14420000
13/08/2014,13570000
14/08/2014,13050000
15/08/2014,11910000
18/08/2014,12850000
19/08/2014,12140000
20/08/2014,12230000
21/08/2014,11930000
22/08/2014,11880000
25/08/2014,11580000
26/08/2014,11330000
